"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"astsa","2.3"
"backports","1.5.0"
"base64enc","0.1-3"
"bayestestR","0.17.0"
"bigD","0.3.1"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"brew","1.0-10"
"broom","1.0.10"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cards","0.7.0"
"cardx","0.3.0"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.3"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"collections","0.3.9"
"commonmark","2.0.0"
"conflicted","1.2.0"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.17.8"
"datawizard","1.3.0"
"DBI","1.2.3"
"dbplyr","2.5.1"
"Deriv","4.2.0"
"desc","1.4.3"
"deSolve","1.40"
"dgof","1.5.1"
"DiagrammeR","1.0.11"
"digest","0.6.37"
"doBy","4.7.0"
"dplyr","1.1.4"
"DT","0.34.0"
"dtplyr","1.3.2"
"e1071","1.7-16"
"epitools","0.5-10.1"
"estimatr","1.0.6"
"evaluate","1.0.5"
"exactRankTests","0.8-35"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.0"
"Formula","1.2-5"
"fs","1.6.6"
"gargle","1.6.0"
"generics","0.1.4"
"ggplot2","4.0.0"
"glue","1.8.0"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gplots","3.2.0"
"gsw","1.2-0"
"gt","1.1.0"
"gtable","0.3.6"
"gtools","3.9.5"
"gtsummary","2.4.0"
"haven","2.5.5"
"here","1.0.2"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"ids","1.0.1"
"igraph","2.1.4"
"insight","1.4.2"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"isoband","0.2.7"
"jose","1.2.1"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"juicyjuice","0.1.0"
"kableExtra","1.4.0"
"Kendall","2.2.1"
"knitr","1.50"
"labeling","0.4.3"
"labelled","2.15.0"
"languageserver","0.3.16"
"later","1.4.4"
"lazyeval","0.2.2"
"leaflet","2.2.3"
"leaflet.providers","2.0.0"
"lifecycle","1.0.4"
"lintr","3.2.0"
"litedown","0.8"
"lme4","1.1-37"
"lmtest","0.9-40"
"lobstr","1.1.2"
"lubridate","1.9.4"
"magick","2.9.0"
"magrittr","2.0.4"
"marelac","2.1.11"
"markdown","2.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"mnormt","2.1.1"
"modelr","0.1.11"
"modelsummary","2.5.0"
"mvtnorm","1.3-3"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"oce","1.8-3"
"openssl","2.3.3"
"packrat","0.9.3"
"pacman","0.5.1"
"palmerpenguins","0.1.1"
"pander","0.6.6"
"parameters","0.28.2"
"patchwork","1.3.2"
"pbdZMQ","0.3-14"
"pbkrtest","0.5.5"
"performance","0.15.2"
"permute","0.9-8"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.4.1"
"PKI","0.1-15"
"plotly","4.11.0"
"plyr","1.8.9"
"png","0.1-8"
"prettyunits","1.2.0"
"processx","3.8.6"
"progress","1.2.3"
"promises","1.3.3"
"proxy","0.4-27"
"pryr","0.1.6"
"ps","1.9.1"
"purrr","1.1.0"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","6.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.0"
"rappdirs","0.3.3"
"rapportools","1.2"
"raster","3.6-32"
"rbibutils","2.3"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppEigen","0.3.4.0.2"
"RcppTOML","0.2.3"
"Rdpack","2.6.4"
"reactable","0.4.4"
"reactR","0.6.1"
"readr","2.1.5"
"readxl","1.4.5"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.5"
"repr","1.1.7"
"reprex","2.1.1"
"reshape2","1.4.4"
"reticulate","1.43.0"
"rex","1.2.1"
"rgl","1.3.24"
"rlang","1.1.6"
"rmarkdown","2.29"
"roxygen2","7.3.3"
"rprojroot","2.1.1"
"rsconnect","1.5.1"
"rstudioapi","0.17.1"
"rvest","1.0.5"
"s2","1.1.9"
"S7","0.2.0"
"sandwich","3.1-1"
"sass","0.4.10"
"scales","1.4.0"
"scatterplot3d","0.3-44"
"seacarb","3.3.3"
"selectr","0.4-2"
"sf","1.0-21"
"shape","1.4.6.1"
"shiny","1.11.1"
"shinydashboard","0.7.3"
"shinyWidgets","0.9.0"
"simecol","0.9-3"
"sn","2.1.1"
"snowflakeauth","0.2.0"
"SolveSAPHE","2.1.0"
"sourcetools","0.1.7-1"
"sp","2.2-0"
"SparseM","1.84-2"
"stringi","1.8.7"
"stringr","1.5.2"
"strucchange","1.5-4"
"styler","1.10.3"
"summarytools","1.1.4"
"svglite","2.2.1"
"sys","3.4.3"
"systemfonts","1.2.3"
"table1","1.5.1"
"tables","0.9.31"
"terra","1.8-60"
"textshaping","1.0.3"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"tinytable","0.15.1"
"tinytex","0.57"
"tseries","0.10-58"
"TTR","0.24.4"
"tzdb","0.5.0"
"units","0.8-7"
"utf8","1.2.6"
"uuid","1.2-1"
"V8","8.0.1"
"vctrs","0.6.5"
"vegan","2.7-1"
"vegan3d","1.4-1"
"viridisLite","0.4.2"
"visNetwork","2.1.4"
"vroom","1.6.6"
"withr","3.0.2"
"wk","0.9.4"
"xfun","0.54"
"xml2","1.4.0"
"xmlparsedata","1.0.5"
"xtable","1.8-4"
"xts","0.14.1"
"yaml","2.3.10"
"zoo","1.8-14"
"base","4.5.1"
"boot","1.3-31"
"class","7.3-23"
"cluster","2.1.8.1"
"codetools","0.2-20"
"compiler","4.5.1"
"datasets","4.5.1"
"foreign","0.8-90"
"graphics","4.5.1"
"grDevices","4.5.1"
"grid","4.5.1"
"KernSmooth","2.23-26"
"lattice","0.22-7"
"MASS","7.3-65"
"Matrix","1.7-3"
"methods","4.5.1"
"mgcv","1.9-3"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.5.1"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.5.1"
"stats","4.5.1"
"stats4","4.5.1"
"survival","3.8-3"
"tcltk","4.5.1"
"tools","4.5.1"
"translations","4.5.1"
"utils","4.5.1"
